cfop,codigo_barras,codigo_produto,created_at,descricao,id,ncm,nfe_id,numero_item,quantidade,valor_total,valor_unitario
6106,7898756760773,248,2026-03-31T18:59:56.305156+00:00,Torneira Banheiro Lavabo Bica Baixa Misturador Monocomando Alira Home - ALR-00060,507473,84818019,95043,1,1.0,49.9,49.9
6102,7908451461285,SBAX80XPTX05X04,2026-03-31T19:50:47.921818+00:00,Tela Toldo Garagem Estacionamento 80% Preto 5x4 Acabamento Sombritela SBAX80XPTX05X04,507474,60059090,95044,1,1.0,78.99,78.99
6108,,JY-6010,2026-03-31T19:53:39.976239+00:00,EscovaDeLimpezaAjustvelJanelaBanheiroeCozinhaFerramenta9EM1Recarregvel,507475,96162000,95045,1,1.0,59.99,59.99
6106,,MLB3716023416_178647428335,2026-03-31T19:56:22.406832+00:00,LAMPADA LED COMPACTA BULBO T45 9W AUTOVOLT 6500K 810 LUMENS E27,507476,85395200,95046,1,4.0,47.6,11.9
