cfop,codigo_barras,codigo_produto,created_at,descricao,id,ncm,nfe_id,numero_item,quantidade,valor_total,valor_unitario
5656,,15369,2026-03-19T13:23:32.035104+00:00,OLEO YAMALUBE 4T 10W40 SE,429859,27101932,76933,1,1.0,63.9,63.9
5405,7895616279741,18524,2026-03-19T13:23:32.714126+00:00,PNEU 130/70-13 MATRIX SCOOTER TL 63P REINF Ref: 132296 Marca: LEVORIN,429860,40114000,76934,1,1.0,479.0,479.0
5405,,12659,2026-03-19T13:23:32.714126+00:00,VACINA PNEU X TIRE MOTO,429861,38249939,76934,2,1.0,29.9,29.9
5405,,14332,2026-03-19T13:23:32.714126+00:00,PASTILHA COBREQ DIANTEIRA FACTOR/FAZER150 09-15 951,429862,87141000,76934,3,1.0,34.9,34.9
5405,,9043012803,2026-03-19T13:23:33.305362+00:00,GAXETA DO DRENO,429863,74152100,76935,1,1.0,7.96,7.96
5405,,B6HE445100,2026-03-19T13:23:33.305362+00:00,ELEMENTO DO FILTRO DE AR,429864,84219999,76935,2,1.0,134.2,134.2
5405,,9321029198,2026-03-19T13:23:33.305362+00:00,ANEL DE BORRACHA,429865,40169300,76935,3,1.0,16.73,16.73
5405,,2DPE547400,2026-03-19T13:23:33.305362+00:00,VEDACAO DO DUTO DE AR,429866,40169990,76935,4,1.0,5.05,5.05
5405,,B65E547200,2026-03-19T13:23:33.305362+00:00,VEDACAO DO DUTO DE AR,429867,40169990,76935,5,1.0,7.9,7.9
5405,,5LWE376900,2026-03-19T13:23:33.305362+00:00,ANEL DE BORRACHA,429868,40169300,76935,6,1.0,5.71,5.71
5656,,90793AB425,2026-03-19T13:23:33.305362+00:00,OLEO YAMALUBE SCOOTER 4T - (10,429869,27101932,76935,7,1.0,83.8,83.8
5405,,18231,2026-03-19T13:23:34.198289+00:00,PNEU 120/70-15 CITY GRIP 2 56S TL Ref: 624880 Marca: MICHELIN BR,429870,40114000,76936,1,1.0,535.0,535.0
5405,,14334,2026-03-19T13:23:34.198289+00:00,FILTRO OLEO FILTRAN FAZER/LANDER250,429871,84212300,76936,2,1.0,25.0,25.0
5405,,12659,2026-03-19T13:23:34.198289+00:00,VACINA PNEU X TIRE MOTO,429872,38249939,76936,3,1.0,29.9,29.9
5656,,15369,2026-03-19T13:23:34.198289+00:00,OLEO YAMALUBE 4T 10W40 SE,429873,27101932,76936,4,1.0,63.9,63.9
5656,,17058,2026-03-19T13:23:35.980301+00:00,OLEO YAMALUBE 4T - (10W-40) SE,429874,27101932,76937,1,1.0,63.9,63.9
5102,,0629,2026-03-19T13:36:39.859044+00:00,BOMBOM DE OREO,429875,21069090,76938,1,1.0,8.0,8.0
