cfop,codigo_barras,codigo_produto,created_at,descricao,id,ncm,nfe_id,numero_item,quantidade,valor_total,valor_unitario
6108,7899678829586,D36-0080-060-03,2026-04-01T10:49:50.523422+00:00,Calca Legging Pretorian Camo,507477,61046300,95047,1,1.0,99.9,99.9
6108,7899625316411,B88-0025-010-03,2026-04-01T10:49:50.523422+00:00,Top Be Up Basico,507478,61099000,95047,2,1.0,31.9,31.9
6102,7891790433283,KITB2-7090,2026-04-02T10:34:30.273973+00:00,Kit 3 Repelente Eletronico Ultrassonico Bivolt Contra Pragas 127/220v,507479,85437099,95048,1,2.0,102.62,51.31
